iso3,pays,CP1,CP2,CP3,CP4
PAK,Pakistan,-2.9405190196412416,0.9454353767521843,-0.019888783044239078,-0.11542409308637089
PAN,Panama,0.7578712624701067,0.14872639672304747,-1.2798830146441889,-0.17671536009995134
PRY,Paraguay,-1.7669438918538263,-0.47934485423137013,-1.1888684842708033,-0.3877261173675046
NLD,Netherlands,3.306475389597663,1.5756934299570136,1.8396877476369453,1.7414872041392977
PHL,Philippines,-1.5193362787533466,1.4145581773966325,-0.10099145083169678,0.1964498915484683
POL,Poland,0.5439391003737997,1.8380049222144093,-0.8810620967039294,0.7920911555582368
PYF,French Polynesia,2.3933697970410615,-2.027841367371213,0.29152207866629576,-1.1070687649961706
PRT,Portugal,1.535538601496702,0.7822191975414517,-0.6108575160167782,1.1009885803115211
PER,Peru,-0.5729679073390738,0.8333384263528404,-0.31641008451748787,0.494010323935992
ROU,Romania,0.34319497032497703,0.6447485660560741,-0.8192306109187665,1.6149969927228875
GBR,United Kingdom,2.331211396685639,3.7406580693438682,1.637659465923322,1.2771777665231816
RWA,Rwanda,-2.123912486138466,-0.6012723140236271,-0.2331196628651858,0.38710200866461364
CAF,Central African Republic,-2.1493039239387053,-0.9370120757406987,-0.2976310816130372,-0.023109864463550876
KOR,"Korea, Rep.",0.022347335177452465,1.9393397863332915,-0.5686415316931628,0.3194233704384885
MDA,Moldova,-0.6161602537532049,-0.6627019277806544,-0.6181992251312418,0.1756544662678208
DOM,Dominican Republic,-0.12776614932851257,0.3542575259822167,-0.749112299911089,-0.7143737413607915
LAO,Lao PDR,-1.66860089623047,-0.5094613692255964,-1.6076937598338827,-0.08779972723130633
PRK,"Korea, Dem. People's Rep.",-1.494840174095875,-0.015726759383172615,-1.5684603038495495,-1.092570373303303
TZA,Tanzania,-2.6750396321822083,-0.16082252872390057,-0.36037710966422193,0.7572221656499974
KNA,St. Kitts and Nevis,4.253711675076206,-2.7039572517518784,0.8460594158079094,-1.5801424773620845
VCT,St. Vincent and the Grenadines,4.3902410881766025,-2.6181340749583075,0.8089690147313128,-2.0135340733148466
LCA,St. Lucia,3.3803350062350854,-2.157677822073594,-0.33136835686893873,-2.044365708834173
WSM,Samoa,4.277364873308939,-2.6322418102007115,0.8756917328391499,-1.9874927537846387
